claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
54,50,M,1,90,39129,0,0,Own,85028,8/15/2015,Saturday,Highway,5,0,54,Phone,1,4491.348462,3,Medium,11816.91717,white,27109.69521,0
56,58,F,1,84,40599,1,0,Own,85064,8/13/2015,Thursday,Local,0,1,77,Phone,1,2513.927533,6,Compact,36977.97876,blue,13998.38666,0
58,62,M,1,82,41269,1,0,Own,80015,9/25/2016,Sunday,Parking Lot,1,0,78,Phone,1,2067.590252,5,Large,29135.11188,other,7881.247872,0
59,47,M,0,69,38508,0,0,Own,20143,9/2/2016,Friday,Parking Lot,1,0,0,Phone,1,4587.728674,5,Compact,14550.28805,silver,35403.81217,1
61,22,M,0,49,30902,1,0,Rent,80021,4/16/2016,Saturday,Highway,1,0,68,Online,1,7982.336027,5,Compact,14373.21383,blue,9739.231253,1
63,47,M,1,79,38483,0,0,Rent,50036,4/20/2016,Wednesday,Local,0,0,62,Broker,0,5935.970546,3,Compact,16908.14613,gray,18564.19126,1
64,26,M,0,93,32591,1,1,Rent,50047,2/9/2016,Tuesday,Highway,0,1,67,Online,1,7661.866723,7,Compact,14372.27717,blue,39002.8018,1
66,38,M,0,63,36387,1,1,Own,15053,4/7/2016,Thursday,Highway,0,0,83,Phone,1,1875.688845,3,Compact,31261.40239,black,12837.76488,1
67,63,M,1,93,41428,1,1,Own,85067,8/2/2015,Sunday,Local,0,0,84,Phone,1,3992.977667,4,Compact,7458.089109,other,12713.39417,0
68,35,M,1,63,35551,1,0,Rent,50047,11/13/2015,Friday,Parking Lot,3,0,97,Broker,1,5242.562288,4,Large,40839.12416,gray,20542.75429,0
69,41,F,1,81,37119,1,1,Own,85031,9/10/2016,Saturday,Parking Lot,0,0,98,Phone,0,11074.49993,5,Medium,41916.15961,silver,60022.57867,0
71,30,M,1,72,34025,0,1,Rent,50047,7/11/2015,Saturday,Local,0,0,49,Phone,0,5900.507621,10,Large,25069.80315,red,6791.073297,1
73,50,F,1,90,39117,1,1,Rent,85079,12/7/2016,Wednesday,Highway,1,0,0,Broker,0,5869.3417,4,Medium,24211.61531,silver,28250.69734,0
74,35,F,0,86,35561,1,1,Own,20132,3/24/2016,Thursday,Local,0,1,64,Broker,1,4391.006072,2,Medium,16064.60673,other,6696.948989,0
76,42,F,1,37,37368,1,1,Own,15009,4/24/2015,Friday,Local,0,0,97,Broker,1,2286.855815,9,Medium,38782.52542,other,17732.65318,0
77,69,F,1,68,42336,1,1,Rent,80024,9/12/2016,Monday,Local,1,1,37,Broker,1,2555.179947,1,Large,21442.80756,gray,25705.84281,0
78,28,M,0,85,33327,0,1,Own,15021,8/7/2015,Friday,Parking Lot,0,0,36,Online,1,1965.753081,10,Medium,24573.68055,red,13930.50033,0
80,30,F,1,79,33993,0,1,Rent,20165,8/12/2016,Friday,Local,0,0,1,Broker,1,2220.849033,5,Compact,25063.75455,black,26149.48866,0
81,69,M,0,70,42352,0,0,Rent,15060,1/1/2016,Friday,Parking Lot,0,0,99,Broker,0,1912.52224,9,Large,26679.72093,other,5636.813285,0
83,41,M,0,33,37140,1,1,Own,15018,8/4/2016,Thursday,Parking Lot,5,0,5,Phone,1,5233.961701,2,Compact,27440.88412,silver,26447.08966,0
85,24,F,1,80,31767,1,1,Rent,80010,12/18/2016,Sunday,Parking Lot,2,0,66,Online,1,4703.710172,6,Medium,33478.12617,white,3021.407359,1
89,72,F,1,82,42785,0,1,Rent,85029,1/27/2016,Wednesday,Parking Lot,0,1,42,Broker,1,8682.020796,3,Medium,20033.74414,red,27290.01654,0
90,48,M,1,53,38712,0,1,Rent,20165,2/1/2015,Sunday,Local,0,0,83,Broker,1,2711.993143,6,Medium,26247.03449,gray,24320.41749,0
91,31,M,0,78,34326,1,1,Own,50021,12/26/2015,Saturday,Parking Lot,0,0,76,Phone,1,1986.437038,5,Compact,39131.15578,black,44658.08904,0
92,31,M,1,83,34347,1,0,Own,15010,3/31/2015,Tuesday,Local,0,0,11,Broker,0,7431.434426,4,Medium,13544.558,black,36667.84401,0
93,48,M,1,51,38701,1,1,Rent,15010,2/14/2016,Sunday,Local,0,0,83,Phone,0,7283.061425,3,Large,10125.75246,gray,30684.7314,0
94,39,M,1,54,36644,1,1,Own,85074,2/2/2015,Monday,Parking Lot,0,0,40,Online,1,4165.679595,5,Large,10621.07306,red,23843.99708,0
95,78,M,1,61,43577,1,1,Rent,15010,10/8/2016,Saturday,Local,0,0,25,Phone,1,3908.300991,6,Medium,28643.04973,white,31554.73932,1
96,38,M,1,76,36374,1,0,Own,80020,8/23/2015,Sunday,Local,4,1,40,Phone,1,3594.521866,3,Medium,25162.9564,red,34363.3759,0
98,58,F,1,56,40616,1,1,Rent,85028,1/6/2015,Tuesday,Highway,0,1,99,Broker,0,1346.603764,3,Compact,10154.58531,blue,24013.54195,1
99,59,F,1,79,40777,1,1,Rent,50007,5/14/2015,Thursday,Local,2,1,93,Broker,1,8969.794924,7,Large,32607.40347,black,20880.75179,0
100,33,F,1,31,34958,1,0,Rent,20130,3/30/2015,Monday,Local,3,0,48,Phone,1,9148.765275,3,Large,13118.67565,blue,15129.07488,0
102,31,M,0,78,34341,1,0,Own,80106,5/12/2016,Thursday,Local,0,0,93,Phone,0,3244.330615,6,Compact,20936.84243,other,24656.22334,0
104,31,F,0,94,34327,0,0,Rent,85038,10/2/2015,Friday,Parking Lot,2,0,2,Phone,1,1899.797609,5,Compact,21262.31249,white,31277.05033,0
108,71,F,1,65,42609,0,0,Own,85054,1/8/2015,Thursday,Parking Lot,0,0,77,Phone,0,6133.930266,7,Medium,10728.60969,red,10901.52408,0
109,22,F,1,83,30897,1,1,Own,50049,1/16/2016,Saturday,Parking Lot,0,0,0,Online,1,5801.370911,10,Compact,21554.60851,other,10803.11824,0
110,66,F,0,87,41890,1,0,Own,85060,3/2/2015,Monday,Local,0,1,0,Broker,1,2687.473644,5,Medium,13536.82481,silver,17400.79619,0
111,133,M,1,60,48905,1,1,Own,15014,8/26/2015,Wednesday,Local,0,0,22,Broker,1,5922.919482,7,Medium,7626.946942,blue,24659.77971,0
114,41,M,1,81,37141,0,1,Own,50035,12/18/2016,Sunday,Highway,0,0,4,Broker,1,3844.360693,2,Medium,16156.21872,white,6556.531901,0
115,32,M,1,97,34675,1,1,Own,50047,1/26/2016,Tuesday,Parking Lot,0,1,69,Phone,1,2474.503079,5,Large,16313.57841,black,15686.61188,0
116,55,M,1,81,40081,1,1,Rent,15003,2/27/2016,Saturday,Highway,1,1,7,Online,1,2022.314343,4,Large,13147.36133,silver,20520.1333,0
119,33,F,1,76,34958,1,0,Rent,85072,12/18/2016,Sunday,Highway,0,0,61,Phone,0,5364.163592,4,Compact,13479.44598,black,14084.99804,0
120,55,M,1,81,40069,1,1,Rent,20129,7/15/2016,Friday,Local,0,0,10,Broker,1,1795.033024,9,Compact,40159.10143,silver,15756.30518,0
121,44,M,1,49,37855,1,1,Own,20111,8/21/2015,Friday,Local,1,1,39,Online,1,4117.140948,6,Compact,19840.70743,blue,25392.34052,0
126,66,F,1,71,41906,1,0,Own,50012,2/18/2015,Wednesday,Local,0,0,7,Broker,0,3352.695861,3,Compact,35203.6731,red,40606.93982,0
127,60,M,0,85,40934,0,1,Own,85027,8/27/2016,Saturday,Parking Lot,1,0,7,Phone,0,3249.175753,4,Compact,8299.373302,gray,36181.35706,0
129,41,F,1,66,37140,1,1,Rent,20104,2/27/2016,Saturday,Parking Lot,2,0,92,Broker,1,6627.322834,1,Compact,6812.920755,white,47880.84964,1
130,35,M,1,81,35546,1,0,Own,85036,2/7/2016,Sunday,Parking Lot,0,0,46,Broker,1,4944.509605,8,Large,42138.06303,black,20954.89757,0
131,46,M,1,93,38302,1,1,Rent,80025,3/1/2016,Tuesday,Local,0,0,45,Broker,1,3855.013775,7,Medium,23771.01456,silver,38244.06703,0
132,32,F,1,66,34676,1,0,Own,85060,2/20/2016,Saturday,Highway,0,0,8,Broker,0,7142.277506,9,Compact,18070.36651,black,7337.606862,-1
133,24,M,0,90,31788,0,0,Rent,80035,10/26/2015,Monday,Local,0,0,52,Online,1,5479.042762,5,Compact,31221.26205,black,18964.09006,0
135,53,F,0,86,39701,0,0,Own,15037,7/26/2016,Tuesday,Local,0,0,71,Online,0,4883.245075,7,Medium,10970.42287,white,17263.74357,0
143,50,F,1,66,39150,1,0,Rent,50043,2/22/2015,Sunday,Local,0,1,49,Broker,0,6117.432577,2,Large,43600.52774,black,39154.52864,0
145,29,F,0,77,33660,1,1,Rent,80002,4/5/2015,Sunday,Parking Lot,0,0,96,Online,1,4027.338224,3,Medium,7590.862761,gray,21365.8913,0
146,45,F,0,77,38071,0,1,Rent,80022,4/20/2015,Monday,Highway,0,0,7,Phone,0,4728.121428,2,Large,21466.03576,black,41332.13128,1
147,33,M,1,77,34949,1,1,Own,50046,8/12/2015,Wednesday,Local,2,0,5,Broker,0,2920.737089,12,Large,10421.51335,other,3242.111556,0
148,27,M,1,48,32969,1,1,Rent,85022,2/29/2016,Monday,Parking Lot,0,0,2,Online,0,3240.955927,8,Compact,22242.58954,red,24824.96997,0
149,26,F,1,89,32578,1,1,Rent,85062,9/16/2016,Friday,Local,0,1,88,Online,0,5786.168171,6,Medium,94243.50725,gray,31928.54157,0
150,26,F,1,66,32582,1,0,Rent,15006,3/31/2015,Tuesday,Parking Lot,2,0,68,Online,1,4881.822384,9,Medium,14312.61926,other,7465.359193,0
151,34,F,1,70,35278,1,1,Own,85034,2/15/2015,Sunday,Local,0,0,11,Phone,1,10369.54802,8,Medium,27596.56284,gray,27418.23032,0
155,57,F,1,93,40426,1,1,Own,50035,7/23/2015,Thursday,Local,1,0,22,Online,0,4440.305755,7,Compact,19893.24245,gray,26262.49476,0
157,26,M,0,83,32590,1,0,Rent,50025,3/21/2016,Monday,Local,0,0,93,Online,1,5146.824903,3,Large,16283.46133,other,21324.44781,0
158,28,M,1,92,33305,1,0,Rent,80109,10/27/2015,Tuesday,Parking Lot,2,0,92,Online,1,3946.408329,8,Medium,19317.27869,red,12991.25514,0
159,51,M,0,80,39328,1,0,Rent,15012,3/22/2016,Tuesday,Highway,0,0,87,Broker,0,4062.595137,7,Compact,6478.250899,other,14135.08587,0
160,46,F,1,88,38278,1,0,Own,80047,6/15/2015,Monday,Parking Lot,0,0,49,Broker,1,1286.658045,8,Compact,15825.76215,black,38411.00263,0
161,38,M,1,46,36382,0,0,Rent,85037,7/25/2016,Monday,Local,0,1,55,Broker,0,3734.335783,8,Compact,21895.93621,red,37278.35856,0
162,42,M,1,91,37384,0,1,Rent,20152,11/30/2016,Wednesday,Parking Lot,2,0,49,Broker,1,8115.719809,4,Compact,21041.91676,gray,32245.07493,0
163,40,F,1,59,36891,0,0,Rent,15032,4/22/2015,Wednesday,Local,0,0,27,Broker,0,5450.951543,6,Large,26281.40145,gray,33750.65411,0
164,22,M,1,71,30911,0,0,Rent,15022,4/17/2016,Sunday,Parking Lot,1,1,48,Online,0,5274.634531,10,Medium,35724.7214,gray,20271.66068,0
165,53,M,1,57,39692,1,0,Rent,85082,2/4/2015,Wednesday,Local,0,1,75,Broker,1,5768.062532,3,Medium,34238.30965,white,31713.20335,0
166,56,F,1,70,40258,1,1,Rent,15010,7/24/2015,Friday,Parking Lot,0,0,99,Broker,1,6148.332688,4,Large,13896.45906,white,35873.61876,0
167,52,M,1,86,39526,1,0,Rent,80023,3/25/2015,Wednesday,Local,0,1,50,Phone,1,5204.923027,2,Compact,36928.31072,other,21649.17331,0
169,52,F,0,78,39514,1,1,Rent,80022,6/15/2015,Monday,Local,1,1,4,Broker,1,2960.049707,3,Compact,14237.41558,black,13561.59416,0
171,58,F,0,84,40600,0,0,Own,15010,9/27/2015,Sunday,Parking Lot,0,1,32,Broker,1,9126.978739,8,Compact,39933.19714,blue,25573.20028,0
173,61,M,1,40,41114,1,0,Own,15001,9/7/2016,Wednesday,Parking Lot,1,0,7,Broker,1,11188.70141,7,Large,36338.65456,white,16730.27499,0
175,25,M,1,81,32191,1,1,Rent,50052,11/12/2015,Thursday,Local,0,0,2,Online,0,1216.997259,5,Large,16102.30298,black,4735.711061,0
177,40,M,0,69,36890,0,0,Own,85023,10/1/2015,Thursday,Parking Lot,0,0,73,Broker,1,4252.04811,4,Medium,6884.202534,red,40497.26609,0
178,45,F,1,88,38066,1,1,Own,85024,10/19/2015,Monday,Highway,0,1,94,Online,1,3335.733492,7,Large,23314.03707,blue,17736.95324,0
179,57,M,0,73,40419,1,1,Own,50013,8/23/2015,Sunday,Highway,0,1,39,Phone,0,2916.523076,7,Medium,16323.05884,white,27329.18696,1
180,22,F,1,88,30896,0,0,Rent,80027,12/13/2016,Tuesday,Local,0,0,98,Phone,0,5765.7997,6,Medium,60513.13642,black,11983.34447,0
182,24,F,1,39,31786,1,0,Rent,80101,10/9/2015,Friday,Local,0,0,80,Online,1,6022.258251,8,Compact,8327.329294,red,17024.45674,0
183,36,F,1,96,35828,1,1,Own,50050,12/16/2016,Friday,Parking Lot,0,1,84,Broker,1,6636.546243,5,Compact,17850.07776,silver,23165.10776,0
185,37,M,1,57,36106,1,1,Own,80046,11/5/2015,Thursday,Local,0,1,95,Broker,0,2156.223939,5,Large,12790.99136,red,31471.96969,0
186,48,F,1,38,38717,1,1,Own,85030,7/21/2015,Tuesday,Highway,1,0,0,Broker,1,3342.76429,3,Large,18511.4928,gray,13840.75141,0
187,33,M,0,77,34962,1,1,Rent,15001,10/22/2016,Saturday,Local,1,0,22,Phone,0,3104.452494,2,Compact,42454.15714,white,22338.93711,0
188,54,F,1,85,39895,1,1,Own,50022,7/29/2016,Friday,Local,1,0,31,Online,1,2461.691792,4,Medium,9410.239639,blue,27203.35031,0
189,55,M,1,66,40082,1,1,Own,80022,2/3/2016,Wednesday,Local,0,1,35,Broker,0,3029.561522,5,Compact,8920.516432,black,24350.10476,0
190,48,M,1,98,38696,1,0,Own,85053,1/31/2015,Saturday,Parking Lot,0,1,50,Phone,1,2713.186754,9,Large,11178.16212,black,30078.0509,0
193,39,F,1,74,36639,1,0,Rent,20104,3/29/2016,Tuesday,Local,1,0,43,Phone,1,5034.105527,4,Compact,19699.5148,black,48433.9752,1
194,34,M,0,64,35268,0,0,Own,50021,5/20/2015,Wednesday,Local,1,1,6,Broker,1,4495.366963,6,Medium,16683.05473,other,15895.94911,0
195,56,F,1,84,40273,1,1,Rent,20118,2/21/2016,Sunday,Local,0,0,0,Phone,1,4958.121964,7,Compact,15791.4311,red,21267.48745,0
197,41,F,1,84,37138,1,1,Own,15025,11/27/2016,Sunday,Local,0,0,87,Phone,0,8846.651091,4,Medium,16976.0845,other,37082.79289,0
199,29,F,1,51,33681,1,1,Rent,20135,4/25/2016,Monday,Parking Lot,1,0,5,Online,1,2116.21426,2,Medium,38921.34216,other,10843.09725,0
200,46,M,0,90,38284,1,0,Rent,15030,4/22/2016,Friday,Local,2,0,0,Broker,1,2817.374483,5,Large,15948.27634,blue,36568.61619,0
204,34,F,1,71,35264,0,0,Own,20132,2/24/2016,Wednesday,Local,0,1,15,Broker,1,7040.934617,5,Medium,19299.12811,red,18551.98922,0
208,55,F,0,67,40088,1,1,Own,50054,3/5/2016,Saturday,Local,0,0,2,Phone,0,2369.16912,6,Compact,24521.08786,blue,4651.624374,0
209,45,F,1,77,38079,1,1,Own,50002,10/1/2015,Thursday,Parking Lot,0,0,61,Broker,0,5703.399697,2,Compact,11123.72718,white,15577.15912,0
210,53,F,0,63,39696,1,1,Own,50025,1/2/2015,Friday,Highway,0,0,79,Online,1,7317.038348,2,Compact,40300.98219,red,28176.30651,0
211,32,M,1,81,34668,1,0,Rent,80110,10/25/2015,Sunday,Highway,2,0,49,Phone,1,6985.534407,3,Compact,28568.51952,gray,11101.0379,0
213,54,M,1,83,39892,1,1,Rent,15006,4/3/2015,Friday,Highway,0,1,55,Phone,1,2561.150058,7,Medium,4281.449844,silver,13549.10892,0
214,40,M,0,74,36882,1,0,Rent,80035,7/22/2016,Friday,Local,0,1,91,Phone,1,4953.767076,2,Compact,18877.34856,other,27404.07712,0
215,41,F,1,68,37133,1,0,Rent,85020,1/14/2016,Thursday,Parking Lot,0,0,99,Phone,0,5914.754935,7,Medium,14950.52039,white,34541.4241,0
216,52,M,1,73,39505,1,0,Own,15021,7/28/2015,Tuesday,Local,3,0,77,Phone,0,2275.165594,8,Medium,26074.25929,silver,16176.90248,0
217,56,M,0,86,40266,1,0,Rent,15021,6/14/2015,Sunday,Parking Lot,1,0,17,Phone,1,3968.530851,10,Medium,8148.66297,silver,38556.39829,0
219,34,M,0,62,35269,1,1,Own,80014,12/31/2015,Thursday,Parking Lot,0,0,50,Broker,1,5789.134785,5,Large,25412.59294,silver,15757.35108,0
220,35,M,0,56,35553,0,1,Rent,80033,1/21/2016,Thursday,Parking Lot,0,1,38,Phone,0,2979.609863,6,Large,18407.65331,gray,50462.45071,0
221,36,F,1,84,35846,0,0,Rent,15020,8/6/2015,Thursday,Local,1,0,39,Broker,1,6152.627333,6,Medium,8370.168773,red,22698.38452,0
222,38,M,0,73,36377,1,0,Rent,80033,4/6/2015,Monday,Local,0,1,0,Broker,1,5629.780509,4,Large,24109.76685,black,38976.46223,0
223,52,M,1,52,39522,1,0,Own,50040,2/14/2016,Sunday,Local,0,NA,50,Broker,1,5772.098498,13,Large,17774.4215,white,5646.334021,0
227,35,M,1,82,35546,1,1,Own,50003,2/13/2016,Saturday,Parking Lot,4,0,25,Phone,1,4698.815476,5,Large,10280.04144,white,11468.8452,0
228,34,F,1,97,35268,1,1,Own,20120,9/15/2016,Thursday,Local,0,0,12,Broker,1,1634.839251,3,Compact,26726.72534,silver,17240.26451,1
230,20,M,0,71,29954,1,1,Rent,50012,4/16/2015,Thursday,Local,0,1,49,Phone,1,3437.45185,7,Compact,31812.19033,black,16692.14338,0
232,22,F,1,98,30906,0,0,Rent,50029,2/17/2015,Tuesday,Local,0,0,45,Phone,0,6959.449217,4,Medium,27505.16887,other,13140.30695,0
233,62,M,1,85,41270,1,0,Own,20106,12/8/2016,Thursday,Local,3,0,80,Phone,1,5693.607468,8,Compact,38790.10093,gray,13387.79056,0
235,34,F,1,96,35265,1,1,Own,85029,1/9/2016,Saturday,Highway,2,0,50,Phone,0,4229.660181,3,Compact,43115.6692,black,29369.68377,0
236,56,M,1,88,40250,0,0,Rent,85001,2/7/2015,Saturday,Local,0,0,94,Phone,1,5750.805851,4,Medium,46795.6081,white,15226.53732,0
237,32,F,0,85,34648,1,1,Own,85080,5/14/2016,Saturday,Parking Lot,0,0,76,Phone,0,2702.432549,5,Compact,21789.75994,other,18700.9019,0
238,50,F,1,89,39128,1,0,Rent,50057,3/1/2015,Sunday,Parking Lot,1,0,99,Broker,0,6189.95955,6,Compact,12527.84909,blue,20439.67604,0
241,80,M,0,59,43828,1,0,Own,20159,6/21/2015,Sunday,Parking Lot,0,0,84,Phone,0,4185.839004,1,Compact,9203.338836,black,22017.81528,0
242,51,M,1,63,39326,1,1,Own,50036,7/5/2015,Sunday,Parking Lot,2,0,80,Broker,1,1911.01975,2,Compact,53162.50515,silver,19582.85249,0
245,52,M,0,74,39522,1,0,Rent,85042,1/12/2015,Monday,Local,0,0,13,Broker,0,6412.88499,5,Large,24187.8776,black,17139.19053,0
248,48,F,1,25,38707,0,0,Rent,80005,5/23/2015,Saturday,Local,0,0,50,Broker,1,3404.837697,1,Large,18189.11257,silver,11611.15328,0
256,47,M,1,95,38502,0,0,Own,85008,8/20/2016,Saturday,Highway,2,1,100,Phone,1,3762.774234,2,Medium,9292.721035,silver,20914.33802,0
257,25,M,0,75,32203,1,1,Rent,85074,8/4/2015,Tuesday,Parking Lot,2,0,0,Online,0,4653.153173,3,Medium,82404.59158,black,18950.39313,0
258,48,F,1,72,38715,1,0,Rent,80020,10/4/2016,Tuesday,Local,0,0,76,Broker,1,2635.051395,5,Large,31497.50588,gray,32584.73013,0
260,34,F,1,78,35257,0,1,Own,20163,4/20/2016,Wednesday,Local,2,0,64,Broker,0,6612.770279,8,Large,21568.53426,silver,25739.78456,0
261,37,M,1,89,36107,0,1,Rent,20103,10/5/2016,Wednesday,Highway,1,1,83,Broker,1,2564.30927,5,Large,14136.45386,other,33443.971,0
262,38,M,0,61,36374,1,1,Own,80018,6/1/2015,Monday,Highway,1,0,10,Phone,1,4599.977695,3,Compact,11219.44187,gray,12576.6895,0
266,52,M,1,84,39509,1,0,Rent,20147,12/13/2015,Sunday,Highway,0,1,3,Phone,1,6011.649372,6,Medium,22527.25849,blue,12877.42713,0
268,44,F,0,81,37841,1,1,Own,20107,9/11/2016,Sunday,Local,1,0,0,Phone,1,3411.935273,5,Large,44758.48747,red,44783.25431,1
271,33,F,1,67,34980,1,1,Own,85037,3/27/2016,Sunday,Local,0,0,50,Phone,1,7533.21834,3,Large,21992.21936,black,24978.47619,0
274,49,F,0,79,38931,1,1,Own,20109,9/26/2015,Saturday,Parking Lot,1,0,50,Broker,1,8592.558578,6,Compact,14693.0375,red,16483.78137,1
275,60,F,1,71,40952,1,0,Own,50038,10/23/2015,Friday,Parking Lot,1,0,70,Broker,1,4998.742216,6,Compact,61685.36327,black,28952.12913,0
277,52,M,1,50,39500,1,0,Rent,80031,5/22/2015,Friday,Parking Lot,0,NA,8,Phone,0,2990.342285,4,Medium,19211.60627,blue,26202.70858,0
278,65,F,0,28,41743,1,0,Rent,15005,3/24/2016,Thursday,Parking Lot,0,1,3,Broker,1,3204.851078,4,Large,9196.361108,silver,14926.23874,0
279,47,F,1,82,38511,1,1,Rent,50009,12/7/2015,Monday,Highway,4,0,93,Phone,1,10563.01678,6,Large,13428.66218,other,15892.88738,0
280,40,M,1,89,36891,0,0,Rent,20165,8/26/2016,Friday,Local,0,0,94,Phone,1,6250.153028,3,Medium,16365.91403,gray,39092.42649,0
283,38,F,1,67,36369,1,0,Rent,80026,2/7/2015,Saturday,Local,0,0,50,Broker,1,9063.804963,4,Compact,22138.37828,gray,47412.80332,0
